target,model,lag_months,window_months,n_predictions,rolling_rmse,rolling_mae,rolling_r2,directional_accuracy,sign_accuracy,target_family,baseline_gm2_rmse_same_lag,baseline_gm2_mae_same_lag,rmse_improvement_vs_same_lag_gm2,mae_improvement_vs_same_lag_gm2
Brent_GM2_path_residual,ci_diagnostic,3,60,142,36.615228215181865,26.87207845088751,-0.0866765656974271,0.5106382978723404,0.5704225352112676,gm2_path_residual,37.18262281600081,26.614987055341008,0.015259671261672702,-0.009659647589229648
Brent_GM2_path_residual,gm2_plus_ci,3,60,142,37.28601611723371,26.452648849588428,-0.12685692196372367,0.5106382978723404,0.5704225352112676,gm2_path_residual,37.18262281600081,26.614987055341008,-0.0027806887573408466,0.00609950346453398
Brent_GM2_path_residual,gm2_only,4,60,142,37.56912569736958,26.924175492480874,-0.14403414734428166,0.46808510638297873,0.5422535211267606,gm2_path_residual,37.56912569736958,26.924175492480874,0.0,0.0
Brent_GM2_path_residual,ci_diagnostic,4,60,142,36.615228215181865,26.87207845088751,-0.0866765656974271,0.5106382978723404,0.5704225352112676,gm2_path_residual,37.56912569736958,26.924175492480874,0.025390462633377197,0.0019349540195915161
Brent_GM2_path_residual,gm2_plus_ci,4,60,142,37.617661837508244,26.894826055609396,-0.1469920479484521,0.5035460992907801,0.5563380281690141,gm2_path_residual,37.56912569736958,26.924175492480874,-0.001291915615221883,0.0010900774614128457
Brent_GM2_path_residual,gm2_only,5,60,142,37.770041871733326,27.200582214619686,-0.15630324231975345,0.36879432624113473,0.528169014084507,gm2_path_residual,37.770041871733326,27.200582214619686,0.0,0.0
Brent_GM2_path_residual,ci_diagnostic,5,60,142,36.615228215181865,26.87207845088751,-0.0866765656974271,0.5106382978723404,0.5704225352112676,gm2_path_residual,37.770041871733326,27.200582214619686,0.030574857726480588,0.012077085745451894
Brent_GM2_path_residual,gm2_plus_ci,5,60,142,37.714719456299726,26.920325502759177,-0.15291840944277113,0.5035460992907801,0.5633802816901409,gm2_path_residual,37.770041871733326,27.200582214619686,0.00146471681502168,0.01030333504074329
Brent_GM2_path_residual,gm2_only,6,60,142,37.81960510359327,27.65783193237856,-0.15933992033652133,0.3404255319148936,0.5,gm2_path_residual,37.81960510359327,27.65783193237856,0.0,0.0
Brent_GM2_path_residual,ci_diagnostic,6,60,142,36.615228215181865,26.87207845088751,-0.0866765656974271,0.5106382978723404,0.5704225352112676,gm2_path_residual,37.81960510359327,27.65783193237856,0.03184530576436331,0.028409800284135107
Brent_GM2_path_residual,gm2_plus_ci,6,60,142,37.71948014298291,26.938741444660177,-0.1532094910052446,0.48936170212765956,0.5563380281690141,gm2_path_residual,37.81960510359327,27.65783193237856,0.0026474353800390563,0.025999524817292546
Brent_GM2_path_residual,gm2_only,7,60,142,37.72363380683374,27.942194598972318,-0.1534634875235732,0.3617021276595745,0.47183098591549294,gm2_path_residual,37.72363380683374,27.942194598972318,0.0,0.0
Brent_GM2_path_residual,ci_diagnostic,7,60,142,36.615228215181865,26.87207845088751,-0.0866765656974271,0.5106382978723404,0.5704225352112676,gm2_path_residual,37.72363380683374,27.942194598972318,0.029382259337144844,0.03829749822600422
Brent_GM2_path_residual,gm2_plus_ci,7,60,142,37.53536604126142,26.88388456220059,-0.14197901054249962,0.49645390070921985,0.5352112676056338,gm2_path_residual,37.72363380683374,27.942194598972318,0.004990711301471035,0.03787497911172134
Brent_GM2_path_residual,gm2_only,8,60,142,37.32892477532028,28.02481348526708,-0.1294519827962286,0.48226950354609927,0.4788732394366197,gm2_path_residual,37.32892477532028,28.02481348526708,0.0,0.0
Brent_GM2_path_residual,ci_diagnostic,8,60,142,36.615228215181865,26.87207845088751,-0.0866765656974271,0.5106382978723404,0.5704225352112676,gm2_path_residual,37.32892477532028,28.02481348526708,0.019119129855309173,0.04113265677880693
Brent_GM2_path_residual,gm2_plus_ci,8,60,142,37.034706223955844,26.716607406450038,-0.1117179523039129,0.524822695035461,0.5422535211267606,gm2_path_residual,37.32892477532028,28.02481348526708,0.007881784785801217,0.04668027780112722
Brent_GM2_path_residual,gm2_only,9,60,142,37.03839093835011,28.018159513775608,-0.11193918084004917,0.4326241134751773,0.47183098591549294,gm2_path_residual,37.03839093835011,28.018159513775608,0.0,0.0
